#TAG,NAME IN REPO (or git url),PURPOSE
#This is the FreeBSD 15 package list. Names come from the ports tree and differ
#from Arch; a few programs are not packaged at all and are noted where they are
#skipped. A missing package fails quietly, is recorded, and the run continues.
#AUR (A) entries are Arch-only and are skipped here. G entries are cloned and
#built with make, from their `freebsd` branch. UNTESTED so far - expect to
#prune this on a first real FreeBSD run.
,poppler-utils,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
#The task spooler installs as /usr/local/bin/ts, and the base system has a
#ts(1) of its own - a timestamp filter - which comes first in PATH, so the
#scripts that use the spooler call it by its full path.
,ts,"queues commands or files for download."
,htop,"is a graphical and colorful system monitor."
,neomutt,"is a terminal email client."
,isync,"synchronizes mail with mbsync."
,msmtp,"sends mail."
,password-store,"is a password manager used for mail credentials."
,notmuch,"indexes mail."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-data,"language packs for OCR"
,avahi-app,"discovers the SMB shares dmenumountcifs offers to mount."
,samba419,"provides smbclient, used to list network shares. The version suffix tracks the ports tree - adjust if this release ships a different one."
G,https://github.com/james5618/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/james5618/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/james5618/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/james5618/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password. Packaged here, so it is not built from suckless git (whose config.mk still points at /usr/X11R6)."
G,https://github.com/LukeSmithxyz/mutt-wizard.git,"is a light-weight terminal-based email system."
